Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
adaptiveThreshold,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.5328252743830345,-2.64,0,3404,24,0,3428
adaptiveThreshold,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5328252743830345,-2.64,0,3404,24,0,3428
adaptiveThreshold,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.5328252743830345,-2.64,0,3404,24,0,3428
adaptiveThreshold,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.5328252743830345,0.0,0,3428,0,0,3428
adaptiveThreshold,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.5328252743830345,0.0,0,3428,0,0,3428
adaptiveThreshold,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5328252743830345,-1.2283456022636683,2,3004,21,401,3428
adaptiveThreshold,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5328252743830345,-1.2377747241660098,3,3004,21,400,3428
adaptiveThreshold,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.5328252743830345,-1.2377747241660102,3,3004,21,400,3428
adaptiveThreshold,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.5328252743830345,-1.2377747241660102,1,3004,21,402,3428
adaptiveThreshold,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.5328252743830345,-2.0,0,3025,0,403,3428
adaptiveThreshold,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5328252743830345,-0.14059416391210255,1,3015,10,402,3428
adaptiveThreshold,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.5328252743830345,-2.0,0,1218,0,163,1381
adaptiveThreshold,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.5328252743830345,-4.0,0,1219,0,162,1381
adaptiveThreshold,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.5328252743830345,2.618634842782745,4,1154,1,149,1308
adaptiveThreshold,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.5328252743830345,0.862098587352162,1,1155,0,152,1308
adaptiveThreshold,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.5328252743830345,2.0484150413872575,3,1227,5,162,1397
adaptiveThreshold,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.5328252743830345,0.22943765656083404,3,1229,4,161,1397
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5328252743830345,0.5948720427262149,2,3015,11,400,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5328252743830345,-2.7066744268837395,1,3019,7,401,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.5328252743830345,-1.3509982435695855,1,3026,0,401,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5328252743830345,-0.10068391911077823,3,3015,10,400,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5328252743830345,0.8235622668707345,3,3083,2,340,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5328252743830345,0.8773127770158184,2,3025,0,401,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5328252743830345,-2.3100000000000005,0,3407,21,0,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5328252743830345,-4.427259391271713,1,3011,12,404,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5328252743830345,-1.899883251645489,5,3519,29,468,4021
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5328252743830345,-8.517220400396221,0,3000,23,405,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5328252743830345,0.3289948598591771,2,3019,6,401,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5328252743830345,-1.0872367053818264,3,3519,28,471,4021
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.5328252743830345,-1.1384491979244022,1,3026,0,401,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.5328252743830345,-0.8258265022491333,2,3458,5,463,3928
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5328252743830345,-4.33,0,928,3,126,1057
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5328252743830345,-1.2484491979244021,1,3025,1,401,3428
adaptiveThreshold,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5328252743830345,1.1745379143434183,2,3021,5,400,3428
adaptiveThreshold,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.5328252743830345,-4.109999999999999,0,5790,1,726,6517
adaptiveThreshold,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5328252743830345,0.005071175044512517,1,15801,0,1498,17300
adaptiveThreshold,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.5328252743830345,2.0215068567753214,4,3082,0,342,3428
adaptiveThreshold,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.5328252743830345,-5.989901187512514,1,19676,1,2267,21945
adaptiveThreshold,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.5328252743830345,-10.0,0,8535,0,1035,9570
adaptiveThreshold,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.5328252743830345,0.9495905680266907,2,1404,6,188,1600
adaptiveThreshold,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.5328252743830345,-1.7140918675282037,4,4004,31,526,4565
adaptiveThreshold,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.5328252743830345,-2.1988925805522324,0,1782,2,239,2023
adaptiveThreshold,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.5328252743830345,1.7360251845026102,2,1875,0,248,2125
