Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
adaptiveThreshold,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.584063510531969,-2.64,0,3404,24,0,3428
adaptiveThreshold,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.584063510531969,-2.64,0,3404,24,0,3428
adaptiveThreshold,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.584063510531969,-2.64,0,3404,24,0,3428
adaptiveThreshold,standard,artificialNoAnomaly/art_flatline.csv,0.584063510531969,0.0,0,3428,0,0,3428
adaptiveThreshold,standard,artificialNoAnomaly/art_noisy.csv,0.584063510531969,0.0,0,3428,0,0,3428
adaptiveThreshold,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.584063510531969,-1.2283456022636683,2,3004,21,401,3428
adaptiveThreshold,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.584063510531969,-1.2377747241660098,3,3004,21,400,3428
adaptiveThreshold,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.584063510531969,-1.2377747241660102,3,3004,21,400,3428
adaptiveThreshold,standard,artificialWithAnomaly/art_daily_nojump.csv,0.584063510531969,-1.2377747241660102,1,3004,21,402,3428
adaptiveThreshold,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.584063510531969,-1.0,0,3025,0,403,3428
adaptiveThreshold,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.584063510531969,-0.14059416391210255,1,3015,10,402,3428
adaptiveThreshold,standard,realAdExchange/exchange-2_cpc_results.csv,0.584063510531969,-1.0,0,1218,0,163,1381
adaptiveThreshold,standard,realAdExchange/exchange-2_cpm_results.csv,0.584063510531969,-2.0,0,1219,0,162,1381
adaptiveThreshold,standard,realAdExchange/exchange-3_cpc_results.csv,0.584063510531969,2.5026632611866138,3,1154,1,150,1308
adaptiveThreshold,standard,realAdExchange/exchange-3_cpm_results.csv,0.584063510531969,0.862098587352162,1,1155,0,152,1308
adaptiveThreshold,standard,realAdExchange/exchange-4_cpc_results.csv,0.584063510531969,2.0484150413872575,3,1227,5,162,1397
adaptiveThreshold,standard,realAdExchange/exchange-4_cpm_results.csv,0.584063510531969,1.229437656560834,3,1229,4,161,1397
adaptiveThreshold,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.584063510531969,0.5948720427262149,2,3015,11,400,3428
adaptiveThreshold,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.584063510531969,-2.7696260859691746,0,3019,7,402,3428
adaptiveThreshold,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.584063510531969,-0.3509982435695854,1,3026,0,401,3428
adaptiveThreshold,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.584063510531969,-0.10068391911077823,2,3015,10,401,3428
adaptiveThreshold,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.584063510531969,0.9335622668707345,3,3084,1,340,3428
adaptiveThreshold,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.584063510531969,0.8773127770158184,2,3025,0,401,3428
adaptiveThreshold,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.584063510531969,-1.5400000000000005,0,3414,14,0,3428
adaptiveThreshold,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.584063510531969,-2.4272593912717126,1,3011,12,404,3428
adaptiveThreshold,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.584063510531969,-1.899883251645489,5,3519,29,468,4021
adaptiveThreshold,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.584063510531969,-5.517220400396221,0,3000,23,405,3428
adaptiveThreshold,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.584063510531969,0.3289948598591771,2,3019,6,401,3428
