Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
ewma,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.9999999999966692,-5.28,0,3404,24,0,3428
ewma,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.9999999999966692,-5.28,0,3404,24,0,3428
ewma,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.9999999999966692,-2.6400000000000006,0,3416,12,0,3428
ewma,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.9999999999966692,0.0,0,3428,0,0,3428
ewma,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.9999999999966692,0.0,0,3428,0,0,3428
ewma,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.9999999999966692,-1.2629056499377032,1,3014,11,402,3428
ewma,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.9999999999966692,-3.3044067622339206,0,3014,11,403,3428
ewma,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.9999999999966692,-1.4437349379642184,1,3014,11,402,3428
ewma,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.9999999999966692,-3.3044067622339206,0,3014,11,403,3428
ewma,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.9999999999966692,-5.472176258664494,4,2995,30,399,3428
ewma,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.9999999999966692,-3.791690627678168,1,3003,22,402,3428
ewma,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.9999999999966692,-1.0,0,1218,0,163,1381
ewma,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.9999999999966692,-2.0,0,1219,0,162,1381
ewma,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.9999999999966692,0.5132339948761997,2,1154,1,151,1308
ewma,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.9999999999966692,0.862098587352162,1,1155,0,152,1308
ewma,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.9999999999966692,0.07231468992621082,2,1229,3,163,1397
ewma,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.9999999999966692,1.1647103626849766,3,1231,2,161,1397
