Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
ewma,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.9194493015086296,-2.64,0,3404,24,0,3428
ewma,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.9194493015086296,-2.64,0,3404,24,0,3428
ewma,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.9194493015086296,-1.3200000000000003,0,3416,12,0,3428
ewma,standard,artificialNoAnomaly/art_flatline.csv,0.9194493015086296,0.0,0,3428,0,0,3428
ewma,standard,artificialNoAnomaly/art_noisy.csv,0.9194493015086296,0.0,0,3428,0,0,3428
ewma,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.9194493015086296,-0.45849070603888087,1,3011,14,402,3428
ewma,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.9194493015086296,-0.29153155684725807,1,3014,11,402,3428
ewma,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.9194493015086296,-0.2915315568472583,1,3014,11,402,3428
ewma,standard,artificialWithAnomaly/art_daily_nojump.csv,0.9194493015086296,-2.1522033811169603,0,3014,11,403,3428
ewma,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.9194493015086296,-2.251024383636014,4,2995,30,399,3428
ewma,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.9194493015086296,-1.3068066099791706,1,3004,21,402,3428
ewma,standard,realAdExchange/exchange-2_cpc_results.csv,0.9194493015086296,-1.0,0,1218,0,163,1381
ewma,standard,realAdExchange/exchange-2_cpm_results.csv,0.9194493015086296,-2.0,0,1219,0,162,1381
ewma,standard,realAdExchange/exchange-3_cpc_results.csv,0.9194493015086296,2.5026632611866138,3,1154,1,150,1308
ewma,standard,realAdExchange/exchange-3_cpm_results.csv,0.9194493015086296,0.862098587352162,1,1155,0,152,1308
ewma,standard,realAdExchange/exchange-4_cpc_results.csv,0.9194493015086296,0.40228619317518133,2,1229,3,163,1397
ewma,standard,realAdExchange/exchange-4_cpm_results.csv,0.9194493015086296,1.3847103626849764,3,1231,2,161,1397
ewma,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.9194493015086296,0.5948720427262149,3,3015,11,399,3428
ewma,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.9194493015086296,-2.0,0,3026,0,402,3428
ewma,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.9194493015086296,-2.0,0,3026,0,402,3428
ewma,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.9194493015086296,-0.3206839191107784,2,3013,12,401,3428
ewma,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.9194493015086296,0.6168075444967294,1,3084,1,342,3428
ewma,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.9194493015086296,0.8773127770158184,1,3025,0,402,3428
ewma,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.9194493015086296,-1.3200000000000003,0,3416,12,0,3428
ewma,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.9194493015086296,-0.6183558540705816,2,3010,13,403,3428
ewma,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.9194493015086296,-2.2920913965237943,4,3515,33,469,4021
ewma,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.9194493015086296,-6.286430834246532,0,2993,30,405,3428
ewma,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.9194493015086296,0.4254644138631876,2,3021,4,401,3428
ewma,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.9194493015086296,-0.6732866704628971,3,3523,24,471,4021
ewma,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.9194493015086296,-2.0,0,3026,0,402,3428
ewma,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.9194493015086296,0.1873532710325887,2,3457,6,463,3928
ewma,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.9194493015086296,-2.2199999999999998,0,929,2,126,1057
ewma,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.9194493015086296,-0.13844919792440225,1,3026,0,401,3428
