Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
zScore,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.9986942862841394,0.0,0,3428,0,0,3428
zScore,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.9986942862841394,0.0,0,3428,0,0,3428
zScore,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.9986942862841394,0.0,0,3428,0,0,3428
zScore,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.9986942862841394,0.0,0,3428,0,0,3428
zScore,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.9986942862841394,0.0,0,3428,0,0,3428
zScore,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.9986942862841394,-2.244914513209169,0,3020,5,403,3428
zScore,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.9986942862841394,-2.0,0,3025,0,403,3428
zScore,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.9986942862841394,-2.0,0,3025,0,403,3428
zScore,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.9986942862841394,-2.2767031974974405,0,3020,5,403,3428
zScore,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.9986942862841394,-2.2510243836360138,2,2995,30,401,3428
zScore,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.9986942862841394,-1.4588367766880068,3,3003,22,400,3428
zScore,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.9986942862841394,-2.0,0,1218,0,163,1381
zScore,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.9986942862841394,-4.0,0,1219,0,162,1381
zScore,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.9986942862841394,2.618634842782745,6,1154,1,147,1308
zScore,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.9986942862841394,0.7520985873521621,1,1154,1,152,1308
zScore,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.9986942862841394,1.8395995478391358,4,1227,5,161,1397
zScore,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.9986942862841394,0.18568724496278044,4,1229,4,160,1397
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.9986942862841394,-2.266678759349383,2,3015,11,400,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.9986942862841394,-2.3768427049272822,1,3022,4,401,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.9986942862841394,-1.3509982435695855,1,3026,0,401,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.9986942862841394,-0.6506818146776812,6,3010,15,397,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.9986942862841394,0.9565378402835625,8,3085,0,335,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.9986942862841394,0.8773127770158184,7,3025,0,396,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.9986942862841394,-1.3200000000000003,0,3416,12,0,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.9986942862841394,-4.287832321441662,8,3012,11,397,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.9986942862841394,-2.8351325644057406,11,3512,36,462,4021
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.9986942862841394,-3.390761219325377,7,2993,30,398,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.9986942862841394,0.5796220246476802,3,3022,3,400,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.9986942862841394,-1.7972204100811688,9,3513,34,465,4021
zScore,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.9986942862841394,-1.1384491979244022,1,3026,0,401,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.9986942862841394,-1.045861928586956,6,3456,7,459,3928
zScore,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.9986942862841394,-4.0,0,931,0,126,1057
zScore,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.9986942862841394,-1.1384491979244022,2,3026,0,400,3428
zScore,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.9986942862841394,1.1731016041511955,8,3021,5,394,3428
zScore,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.9986942862841394,-4.0,0,5791,0,726,6517
zScore,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.9986942862841394,-2.33,0,15798,3,1499,17300
zScore,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.9986942862841394,2.0215068567753214,7,3082,0,339,3428
zScore,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.9986942862841394,-2.8888542748517185,10,19677,0,2258,21945
zScore,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.9986942862841394,-10.0,0,8535,0,1035,9570
zScore,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.9986942862841394,-1.607450253692579,3,1405,5,187,1600
zScore,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.9986942862841394,-1.2667668628350097,5,4007,28,525,4565
zScore,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.9986942862841394,-2.0,0,1784,0,239,2023
zScore,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.9986942862841394,-1.1373892398857994,1,1875,0,249,2125
zScore,reward_low_FN_rate,realTraffic/speed_6005.csv,0.9986942862841394,-2.0,0,1886,0,239,2125
zScore,reward_low_FN_rate,realTraffic/speed_7578.csv,0.9986942862841394,-2.4556490081202007,3,840,2,113,958
zScore,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.9986942862841394,-1.1265855756115903,4,1871,0,246,2121
zScore,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.9986942862841394,-3.575981330785282,1,1872,4,248,2125
zScore,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.9986942862841394,0.20143069196932317,1,1615,6,216,1838
zScore,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.9986942862841394,-4.486181927616386,19,13485,79,1569,15152
zScore,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.9986942862841394,1.470008898268154,7,13481,20,1573,15081
zScore,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.9986942862841394,1.6773384994737195,8,13549,10,1585,15152
zScore,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.9986942862841394,-0.52216022394778,12,13547,30,1514,15103
zScore,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.9986942862841394,-1.7163694341698685,5,13468,33,1577,15083
zScore,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.9986942862841394,-0.1603403295615925,10,13631,29,1422,15092
zScore,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.9986942862841394,-1.171883991973878,8,13524,29,1582,15143
zScore,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.9986942862841394,-2.9939576511386097,8,13461,53,1579,15101
zScore,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.9986942862841394,0.7073104346183061,6,13494,26,1582,15108
zScore,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.9986942862841394,-3.794319584189513,25,13456,75,1560,15116
Totals,,,,-80.00408707148416,243,298674,673,33252,332842
