Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
zScore,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.829947752377315,0.0,0,3428,0,0,3428
zScore,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.829947752377315,0.0,0,3428,0,0,3428
zScore,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.829947752377315,0.0,0,3428,0,0,3428
zScore,standard,artificialNoAnomaly/art_flatline.csv,0.829947752377315,0.0,0,3428,0,0,3428
zScore,standard,artificialNoAnomaly/art_noisy.csv,0.829947752377315,0.0,0,3428,0,0,3428
zScore,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.829947752377315,-1.0,0,3025,0,403,3428
zScore,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.829947752377315,-1.0,0,3025,0,403,3428
zScore,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.829947752377315,-1.0,0,3025,0,403,3428
zScore,standard,artificialWithAnomaly/art_daily_nojump.csv,0.829947752377315,-1.3335653501118916,0,3019,6,403,3428
zScore,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.829947752377315,-1.0,0,3025,0,403,3428
zScore,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.829947752377315,-1.238836776688007,4,3005,20,399,3428
zScore,standard,realAdExchange/exchange-2_cpc_results.csv,0.829947752377315,-1.0,0,1218,0,163,1381
zScore,standard,realAdExchange/exchange-2_cpm_results.csv,0.829947752377315,-2.0,0,1219,0,162,1381
zScore,standard,realAdExchange/exchange-3_cpc_results.csv,0.829947752377315,0.7520193392235588,4,1154,1,149,1308
zScore,standard,realAdExchange/exchange-3_cpm_results.csv,0.829947752377315,0.7520985873521621,1,1154,1,152,1308
zScore,standard,realAdExchange/exchange-4_cpc_results.csv,0.829947752377315,0.2922884634276035,3,1228,4,162,1397
zScore,standard,realAdExchange/exchange-4_cpm_results.csv,0.829947752377315,1.274710362684976,4,1230,3,160,1397
zScore,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.829947752377315,-1.266678759349383,2,3015,11,400,3428
zScore,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.829947752377315,-1.2668427049272821,1,3023,3,401,3428
zScore,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.829947752377315,-0.3509982435695854,1,3026,0,401,3428
zScore,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.829947752377315,-2.649996365132827,0,3010,15,403,3428
zScore,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.829947752377315,0.9565378402835625,9,3085,0,334,3428
zScore,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.829947752377315,0.8773127770158184,8,3025,0,395,3428
zScore,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.829947752377315,-1.3200000000000003,0,3416,12,0,3428
zScore,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.829947752377315,-2.287804333445978,9,3012,11,396,3428
zScore,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.829947752377315,-1.840408565256575,12,3521,27,461,4021
zScore,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.829947752377315,-1.5114787850167568,9,3001,22,396,3428
zScore,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.829947752377315,0.6427263922863529,3,3023,2,400,3428
zScore,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.829947752377315,-0.259915703800777,11,3527,20,463,4021
zScore,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.829947752377315,-0.13844919792440225,1,3026,0,401,3428
zScore,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.829947752377315,2.049422306739111,7,3457,6,458,3928
zScore,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.829947752377315,-2.0,0,931,0,126,1057
zScore,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.829947752377315,-0.13844919792440225,2,3026,0,400,3428
zScore,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.829947752377315,1.1731016041511955,8,3021,5,394,3428
zScore,standard,realKnownCause/ambient_temperature_system_failure.csv,0.829947752377315,-2.0,0,5791,0,726,6517
zScore,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.829947752377315,-1.22,0,15799,2,1499,17300
zScore,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.829947752377315,2.0215068567753214,7,3082,0,339,3428
zScore,standard,realKnownCause/machine_temperature_system_failure.csv,0.829947752377315,-0.8888542748517188,11,19677,0,2257,21945
zScore,standard,realKnownCause/nyc_taxi.csv,0.829947752377315,-5.0,0,8535,0,1035,9570
zScore,standard,realKnownCause/rogue_agent_key_hold.csv,0.829947752377315,-0.3911466786362061,6,1407,3,184,1600
zScore,standard,realKnownCause/rogue_agent_key_updown.csv,0.829947752377315,-0.49676730167554906,5,4014,21,525,4565
zScore,standard,realTraffic/occupancy_6005.csv,0.829947752377315,-1.0,0,1784,0,239,2023
zScore,standard,realTraffic/occupancy_t4013.csv,0.829947752377315,-0.13738923988579954,1,1875,0,249,2125
zScore,standard,realTraffic/speed_6005.csv,0.829947752377315,-1.0,0,1886,0,239,2125
zScore,standard,realTraffic/speed_7578.csv,0.829947752377315,-0.4556490081202007,3,840,2,113,958
zScore,standard,realTraffic/speed_t4013.csv,0.829947752377315,-0.12658557561159023,4,1871,0,246,2121
zScore,standard,realTraffic/TravelTime_387.csv,0.829947752377315,0.0696027259251546,2,1872,4,247,2125
zScore,standard,realTraffic/TravelTime_451.csv,0.829947752377315,0.4214217959701247,1,1617,4,216,1838
zScore,standard,realTweets/Twitter_volume_AAPL.csv,0.829947752377315,-3.8525265978695113,21,13493,71,1567,15152
zScore,standard,realTweets/Twitter_volume_AMZN.csv,0.829947752377315,-0.39826545442899497,5,13482,19,1575,15081
zScore,standard,realTweets/Twitter_volume_CRM.csv,0.829947752377315,-0.12996519771272896,7,13550,9,1586,15152
zScore,standard,realTweets/Twitter_volume_CVS.csv,0.829947752377315,-0.1921618248501763,12,13550,27,1514,15103
zScore,standard,realTweets/Twitter_volume_FB.csv,0.829947752377315,-1.1859988709000975,5,13472,29,1577,15083
zScore,standard,realTweets/Twitter_volume_GOOG.csv,0.829947752377315,0.3886356109031007,9,13638,22,1423,15092
zScore,standard,realTweets/Twitter_volume_IBM.csv,0.829947752377315,-1.0312748035739823,8,13526,27,1582,15143
zScore,standard,realTweets/Twitter_volume_KO.csv,0.829947752377315,-2.4382624957842176,8,13467,47,1579,15101
